stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,66,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,9.58,0.56,1.97,0,0,0,0,0,0,0,0,0,0.56,281.57,0,0.56,0,0.28,0,0,8.17,3.38,0,2.25,0,0,0.85,0,0.56,0,0,0,0
21Day,1.48,0.74,0,163.53,0.74,2.59,0,0,0,0,0,0,0,1.11,0,1.11,203.86,1.11,4.07,0,0,0,0,4.81,2.96,0,1.85,2.59,0,0.37,0.74,1.85,0,0,0,0.37
3Month,0,0.73,0.42,263.68,0.1,0,0.73,0.1,1.87,1.66,0.1,5.41,3.22,0.21,3.74,2.5,8.22,1.66,2.5,0.1,0.1,0.42,0.62,0.31,0,0.21,0.1,1.35,1.87,0.21,0,0,0.1,1.25,1.66,0.94
22Month,0,0.27,0,30.2,0.14,0,0,0,0,0.96,0.27,7.38,0.14,0.41,0.27,0.14,1.37,0.96,2.73,0.14,0,0.14,0,0,0,0,0.14,0,1.23,0.27,0,0,0,0.14,0,1.37
