stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.94,0.42,21.43,1.66,1.66,0,9.05,3.22,0.1,4.26,0.94,2.81,1.35,2.7,0.83,0.1,299.99,0.83,0.31,0.73,0.52,0,0.31,1.66,1.56,0.31,0.1,0.52,0.62,1.56
22Month,0,1.37,1.64,10.11,0.82,2.19,1.09,15.17,1.78,0,3.28,0.14,0.14,0.55,2.46,0,0.68,186.8,0.14,0,0,0.55,0.14,0.14,0,0.96,0.27,0,0,0,0.55
