stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,1.85,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,0.52,0,0,0.1,0,0.1,0.73,0.1,0,0.31,0.1,0.1,0.31,0.31,0,0,0.1,0,0,0,0,0.21,0.52,0,8.11,0.31
22Month,0,0.27,0.55,0.14,0.14,0,0.14,0.55,0.68,26.51,0.68,0,0.82,0,0,0.27,0.82,0.27,0.14,0,0,0,0.14,0.14,0,0.55,0.14,0,0.55
