stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.85,0,0,1.13,3.1,0.28,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0,0.37,0,1.48,0,0,0,0,0.37,0,0,0,0,1.48,0.37,0,0,0,0,0.37
3Month,0,0.21,1.25,0.21,0.1,0.1,0.42,0.31,9.36,0.42,0,0.42,0.62,0.52,1.46,0.52,0,0.21,0.42,0,0,1.14,0.1,0,0,0.21,12.27,0,0.21,4.89,0.1
22Month,0,0,0.27,0,0,0.14,0,0,1.37,0,0.14,0.14,0,0.55,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0.14
