stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,66,0,1,0,0,0,0,0,2,0,0,0,4,2,49,0,1,36,0,0,0,0,0,0,0,0
72hpf,0.56,0,10.15,0,0,0,0,0,0,0,0,0,0,0,6.2,0,2.54,0,2.82,1.97,0,0.28,0,0,0,0,0,0
21Day,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,1.85,0.37,0,0.37,0.74,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.31,1.77,0.1,0,0.1,0.1,0.21,0.1,0,0,1.46,0.1,0.21,5.2,0.1,0.31,0.62,0,0,0.1,0,0.62,1.66,0.1,0.1,7.28,0.21
22Month,0,0,0.27,0,0,0,0,0.14,0,0.14,0,1.23,0,0.14,0.68,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0
