stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
72hpf,12.97,0.56,0,0,0,0.28,0,0.56,0,0,5.07,2.82,0.28,0.28,0,0
21Day,5.92,0,0.37,0,0,0,0,0,0,0,1.11,0.74,0,0,0,0
3Month,0,0.21,0,0.83,0.21,0,0.21,0.1,0,0,0,0,0,0,0.21,0.1
22Month,0,0.27,0,3.83,0.55,0,0.27,0.14,0.14,0.14,0.14,0,0,0,0.41,0.14
