stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0.85,0,0,0,1.69,1.69,0,0.28,0,0,0.28,0
21Day,1.48,0,1.11,1.85,0.37,0.74,0,0,0.37,0,1.11,0,0.74,2.22,1.11,0,0.37,1.11,0.74,0,1.85,0,0.37,0,0.74
3Month,0,0,0,0,0,0,0,0.1,0,0,0.21,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.41,0.82,1.09,0,0,0.27,0.68,1.23,0.27,4.51,0.14,1.23,0,0.68,1.91,0,0,0,0.14,0,0.14,0,0,0
