stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.33,3.66,0,10.43,2.25,18.32,0,0.85,0,0,0,0,0,0,0.28,4.51,33.26,1.97,59.19,0,1.97,0.28,0.28,140.92,70.18,0.56,0.85,25.08,0.56,0,11.27,1.13,1.13,1.13,0,0,0
21Day,14.43,4.81,2.22,54.02,2.22,33.67,0,8.14,0,0.74,2.22,12.95,0.74,16.65,8.14,3.33,28.12,7.03,91.39,0,0.74,8.51,0,53.28,36.63,1.11,2.22,21.46,14.8,1.48,8.51,2.59,11.47,2.59,0,0,9.25
3Month,0,0.21,0,1.35,0,0,0.1,0,0.1,0.42,0.1,2.18,0.62,0.1,0.21,0,0.52,0.31,1.46,0.31,0,0.1,0.1,0.31,0.1,0.21,0.21,0,0.52,31.83,0,0,0,0.1,0.31,19.76,0.1
22Month,0,0,0,0.14,0,0,0.14,0,0,0,0,0.55,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0.41,0,0,0,0,0,0,0
