stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0.56,0,0,0,2.54,0.28,0.28,0,1.13,0,0,0,0,0,0,0,0,0
21Day,1.48,0.37,0,12.58,0.37,1.11,0,0,0,0.37,0.37,0,1.85,0.37,0.37,7.77,0.37,7.4,0,0,1.11,5.55,0.74,0.37,0,3.33,0.74,0.37,0.74,0.37,1.48,0.37,0,0,1.85
3Month,0,0.21,0.1,1.56,0.1,0,0,0.1,0.21,0,3.22,0.21,0,2.08,0.1,0.83,0.21,0.83,0.1,0,0,0,0,0.21,0,0.1,0,0.1,0,0,0,0,0.31,0.31,0.42
22Month,0,0,0.27,0.41,0,0,0.14,0,0.82,0.68,7.24,0.14,0.41,1.91,0,0.14,0.27,0.96,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14
