stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,2.54,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0.28,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0.31,0,0.21,0.1,0,2.7,0.21,0,0.31,0.1,0,0,0.21,0,0.1,0.1,0,0,0,3.64,0,0.1,2.08
22Month,0,0,0.41,0,0,0,0.14,22.41,0.14,0,0.27,0.14,0.14,0.14,0,0.96,0,0,0,0.14,0.27,1.5,0.27,0,0
