stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0.28,1.13,0,0,0,0.56,0,0.56,0.56,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.74,5.55,0,0,0,0,2.59
3Month,0.1,0.73,0.1,12.07,0.1,0.42,0.94,1.14,0,14.04,3.33,0.42,5.1,1.25,3.43,2.7,5.41,0.42,0,1.14,0.73,0.42,0.21,0.31,0.73,0,0.1,2.5,264.83,0.21,0.1,2.18,266.18,13.63
22Month,0.14,0.55,0.55,0.96,0,0.14,0.27,0.96,0.41,15.03,0.82,0.41,1.91,0.14,0.82,0.82,1.91,0,1.23,0.27,0,0.27,0,0.27,0.14,1.37,0,0.14,79.67,0.14,0.14,0,0.55,8.47
