stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,14.06,0,0,0,0,0.37,0,0.37,7.77,0.74,0,0.37,0,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.21,0.21,44.31,0.1,0.42,1.77,0.52,0,0.73,1.98,4.26,0.21,0.42,0,0.31,0.52,0,0.1,1.14,0,0,0.1,0.83,1.04
22Month,0,0,0,1.64,0,0.14,0.41,0,0,0.14,0.14,0.14,0.14,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0.14
