stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0.28,0,6.2,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0.37,0,0,0,0.37,0,1.11,0.37,2.96,0,0.74,0,1.11,0,0,0
3Month,0,0.1,0,0.42,0,0,0.62,0,0.1,0,0.1,0,0.1,0,0,1.77,0,0,0.42,0.1
22Month,0,0,0.14,0.14,0,0.14,1.37,0.14,0,0,0.14,0,0,0,0,0.27,0,0.14,0,0
