stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0.28,0,0,0,0,0.28,0,0,0,1.41,0.85,0,5.36,0,1.69,23.11,1.41,1.41,1.69,3.95,0,0,1.41,0,0,0
21Day,0.37,0,0,1.48,0,0.74,0,0,0,0,0,0,0,0,0,0,8.14,0,9.99,8.51,0.37,0,0,2.22,0.37,0,0,0,0,0
3Month,0,0.31,0.1,2.91,0,0,0.31,0.1,0.42,1.04,2.29,0.42,1.04,0.62,1.14,0.52,5.41,0.62,0.62,0.42,0.21,1.35,2.08,0.42,0.31,17.16,0.42,0,3.54,0.52
22Month,0,0.14,0.14,0.96,0,0,0,0,0,0,3.83,0,0.14,0,0.41,0.41,1.64,0,0,0,0.14,0.41,0.27,0,0,2.87,0.14,0.14,0,0
