stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,1.69,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0.1,0.31,0,0,0,0,0.31,0,0.21,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
22Month,0.14,0.14,0.27,0,0.14,0.27,0.27,5.06,0.14,0.27,0.41,0.68,0.27,0.14,0,0,0.14,0,0,0,0.14
