stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,5.07,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.96,0.37,0,0,0.37
3Month,0.1,0.21,0,0.52,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0
22Month,0,0.55,0.14,2.19,0.41,0.14,0.41,0.14,0.41,0.14,0,0,0,0.14,0
