stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0
21Day,1.48,0,0.37,0,0.37,0,0,0.74,0.74,0,0.37,0,0,0.37,0
3Month,0.31,0,0.31,0.1,0,0.42,0.31,0,0,0,0,0.31,0,0,0.52
22Month,0.14,6.97,1.09,0.14,0,0.27,0,0.14,0,0.14,0,0.27,0.14,0,0
