stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.21,0.21,0.42,0.21,0.31,0.83,0.1,4.99,0.21,0.21,0,0.1,1.25,1.25,0.42
22Month,0,0,0,0,0.14,1.91,0,0.27,0.27,0,0,0,0,0,0.14
