stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0
3Month,0.21,0.62,0.1,0.21,0.83,0.31,0,0.1,0.1,1.04,0.52,0.83,0.21,0.31,0,0.21,3.43,0.1,0.1,0.42,5.1,0.52
22Month,0,0,0,0.27,0.27,0,0.14,0,0,0.14,0.41,0.55,0,0,0.14,0.14,0.41,0,0,0,0.14,0.14
