stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0.28,0,2.25,3.95,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0.37,0,0,0,0,0.74,2.22,1.11,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0,0.1,1.56,0,0,0.94,0,0.21,0.21,0,0.62,0.1,0.31,5.62,0.21,0,0.21,0,0,0.1,0,0.21,0.42,0,0.1,0.83,0.21
22Month,0,0.14,0.68,0,0.14,0.68,0.14,2.19,0.14,0.14,0.55,0.14,0.27,23.37,0.41,0.55,0,0.14,0,0.14,0,0,0.14,0,0,0,0
