stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
72hpf,0,0,2.54,0,0,0,0,0,0,0,0,0,7.89,0,4.23,0,1.41,0.85,0,0.85,0,0,0.28,0
21Day,1.11,0.37,2.96,1.11,1.48,0,0,0.37,0,0.37,0,0.37,1.11,0.37,6.29,0.37,2.59,0.37,0,3.33,0.37,0,0.37,0
3Month,0,0,0.52,0,0,0.1,0.1,0.52,0.1,0,0.1,0.1,0.31,0.21,0.31,0,0,0,0.1,0.21,0,0.1,0,0.21
22Month,0,0.14,0.27,0,0,0,0.68,4.24,0.55,0,0.55,0,0.14,0.41,0.82,0.27,0,0,0,0,0,0.14,0,0
