stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,7,0,0,0,0,0
72hpf,0.56,0,0,0.56,2.54,2.82,0.28,0,0,0.56,0
21Day,0,0,0.37,0.74,1.85,1.48,0,0.37,0,1.11,0
3Month,0.1,0.1,0,0.1,0,0,0,0,0.52,0,1.25
