stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,1.13,0.28,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,1.66,0.1,0.21,0.21,0.21,1.98,0.42,0.1,0.1,0,0.21,0.83,0,0.1,0.1,0.1,0,0.31,0,0.31,29.75,0,1.98,6.35,0.21
22Month,0.14,0.14,0.41,0,0.14,0,0.14,1.37,0,0.14,0,0,0.27,0.14,0.14,0,0,0,0,0,0,0,6.7,0,0.41,0,0
