stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,1,2,0,0,0,10,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0.28,0,0,1.69,0.85,0.56,0
21Day,0.37,0,0.37,0.74,0.37,0.37,1.11,0.37,0.74,0.37,0.37,0.37,0.74,1.48,0.37
