stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
72hpf,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.95,0,0,3.66,0,3.1,1.69,0,0.56,0,0,0,0,0,0,0,0,0
21Day,3.7,0,0.37,0.74,0,0.74,0,0,0,0,0,0.74,0,0,0,0,13.69,0,0,40.7,0,3.33,1.11,0,1.11,0.37,0,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.1,0.31,7.7,0.1,0,0,0.31,0,1.04,0.42,0,2.5,0.1,0.31,0.62,15.91,0.31,0,11.23,0.1,0.1,0.1,0.21,0,0.31,1.25,0.1,0,0,0.94,0.21,1.35,0.21
22Month,0.14,0.41,0.14,2.46,0.14,0,0.14,0.41,0.41,2.32,0,0,0.55,0,0.14,0.14,8.34,0,0.14,8.75,0,0.14,0,0,0,0,1.5,0.55,0.14,0,1.91,0.14,0,0.27
