stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.13,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0.28,0,1.41,1.97,0,9.02,0,0.85,0,0,6.76,4.51,0.28,0,1.13,0,0,0.85,0.28,0,0.56,0,0,0
21Day,1.48,0.37,0,8.14,0,1.11,0,1.48,0,0,0,0,0,0.74,0,0,5.18,0.74,5.92,0,0,0.74,0,4.07,3.33,0.37,0,1.85,0.74,0,0.37,0,0.74,0.37,0,0,0.37
3Month,0,1.14,0,6.76,0.1,0,0.21,0,0,0.94,0,4.47,1.04,0.52,1.04,0.21,0.62,1.04,1.56,0.21,0,2.6,0.62,0.42,0.1,0.1,0,0.1,0.21,5.1,0.31,0,0,0.31,18.72,3.43,0.31
22Month,0.14,0.55,0.41,3.01,0,0,0,0.14,0.14,3.01,0.41,7.11,0.41,1.78,1.91,0,0.68,3.01,2.73,0.14,0.55,0.96,0,0.41,0.41,0.55,0.14,0,0.14,6.01,2.05,0,0,0.14,0.68,0.14,0.41
