stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,46,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.85,4.23,0,2.25,0,0.56,0,0,9.3,9.02,0,0.28,0,0.56,0.28,0.28,0.28,0.28,0,0,0
21Day,0.37,0,0,1.85,0.37,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0,1.85,1.85,0.37,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0,0.21,0,1.14,0,0,0,1.04,0.1,0,6.14,0,2.29,0.31,0.73,0.42,0.73,0.1,0,0.21,0.31,0.21,0,0.42,0,0,0,0.1,3.02,0.1,0,0.21,1.66,0.83
22Month,0,0.41,0.14,0.55,0,0,0.14,0.41,0.55,0.55,17.08,0,2.87,0,0.27,0.55,0.41,0,0.55,0,0,0,0,0.14,0.14,0.14,0,0.14,0.68,0,0,0,0,0.27
