stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0.28,0.28,0.28,0,16.63,0,0,0.28,2.25,0,0.28,0,0.56,0,0
21Day,0.37,0,0.74,0.37,0,0,1.48,0,0.37,0,0,0,0.74,0,1.85,0.37,4.44,1.11,0,0,0.74,0,0.37,0.37,0.37,0,0
3Month,0.1,0.1,0.62,0.1,0,0.1,0.83,0,0.31,0,0,0.21,0.1,0.1,0.73,0,0,0,0,0,0,0.62,0,0,0,0.1,0
22Month,0,0,0,0,0,0,1.37,0.27,1.37,0.14,0.27,0.14,0.14,0.27,1.78,0.14,0.27,0,0.14,0,0,1.23,0,0,0,0,0.14
