stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.13,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.1,0,1.98,0.31,0,0.31,0,0,0.42,1.35,0,0.1,0.1,0.31,0,0.1,0,0.1,0,0.1,0.1,0.1
22Month,0.27,0.27,2.19,0.41,0.27,0.96,0.41,0.14,0.68,0.68,0.14,1.78,0.14,0.27,0,0.14,0.14,0,0,0,0,0.27
