stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,18,0,0,0,5,156,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0,1.97,0,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0,5.92,0,0.56,0,38.33,25.93,0,0.56,3.1,0.28,0,0.56,0.85,0,0,0,0
21Day,3.33,0,4.07,0,9.25,0,1.85,0,0,0,0,0,0,3.33,0,0.74,1.11,0.37,3.7,0,0,0,9.62,12.21,0,0,1.48,0,0,0.37,0.37,0.37,0,0,0.74
3Month,0.1,0.1,7.59,0,0,0.1,0.42,0.1,0.62,0.62,0,9.78,0.62,0.31,2.08,0.42,3.33,0.83,2.18,0.42,0,0.31,2.29,0.42,0.62,0.1,0.1,0,2.91,0,0,0,0.52,0.52,0.31
22Month,0,0.14,1.78,0.14,0,0.55,0.14,0,0.41,1.23,0.68,9.43,0.68,0.27,2.32,0.14,0,0.55,1.78,0.14,0.41,0.14,0.96,0,0.27,0.27,0,0.14,0.82,0.27,0.96,0,0,0,0.27
