stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,38,0,0,0,0,0,0,0,0,0,0
72hpf,5.36,0.56,0,1.41,1.41,3.95,0,0,0,0,0,0,4.51,1.13,3.66,0,494.93,33.54,0.85,1.69,5.64,0.28,0,3.1,0.28,0.85,1.13,0
21Day,1.48,0.37,0.37,3.7,0,4.81,0.37,0,0.37,1.85,1.11,0.37,2.22,0.74,3.7,0.74,191.65,15.54,1.11,2.22,2.96,7.03,0,1.85,0,2.59,0.37,1.48
3Month,0,0,0,0.1,0,0,0,0,0,0,0.21,0,0,0,0,0,0.31,0,0.1,0.1,0,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0.14,0.82,0,0.14,0,0,0,0.14,0,0.14,0,0.14,0,0,0,0.82,0,0,0,0,0
