stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0.28,5.07,2.25,0,0,0.85,0,0,0.28,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0.37,0,0,0.37,0.37,0.74,0,0,0,0,0
3Month,0,0.21,0,2.08,0,0,0.42,0,0.1,0.62,0.1,0,2.29,0.42,2.5,0.94,0.42,1.46,0.83,0.1,0,0.52,2.91,0.1,0,0.31,0,0.1,0.21,17.79,0.1,0,0.1,6.45,0.21
22Month,0,0.27,0.14,1.64,0,0,0,0.14,0,0.41,0.27,0,8.2,0,1.09,0.55,0.27,0.14,0.96,0,0.96,0.27,0.27,0.41,0,0.27,8.88,0,0,4.1,0.14,0.14,0,0,0.27
