stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0.37,0,0,0,0,0,0,0,0,0.74,1.48,0.37,0,0,0,1.11,0.37,0.74,0,0.74,0.37,0,0,0,0,0,0
3Month,0,0,0.1,0.31,0,0.1,0,0.1,0.1,0,0.31,0,0,0.31,0,0.1,1.46,0,0,0,0.1,0,0,0.1,0,0,0,0.31,0,0,0.21,0.42,0.31
22Month,0,0.14,0.41,0.82,0.14,0.41,0.14,0.14,2.6,0.41,17.76,0.96,0.41,1.78,0.14,0.27,10.8,2.46,0.96,0.55,0,0.27,0,0.68,0.27,0.14,0,0.27,0.27,0.14,0.14,0,1.23
