stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.85,1.41,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,3.66,4.79,0,0,0.28,0,0,1.69,0,0,0
21Day,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0.37,1.85,0,0,0.37,0,0,0.74,0.74,0,0
3Month,0,0.1,10.4,0.42,0,0.21,0.62,0,1.66,0.1,0,0.52,3.02,1.14,0.62,1.04,0.21,0,0,0.21,1.14,0.31,1.46,0,0.21,0.1,12.79,0.31,0.1,17.27,0.31
22Month,0,0,1.78,0.14,0,0.14,0.27,1.09,1.23,0,0.14,0.14,0.14,0.14,0,0.55,0,0.14,0.27,0,0.14,0,0,0.14,0,0,0.41,0.55,0,0,0
