stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
22Month,0,0.14,0.55,0.14,0.41,0.14,18.45,0.14,0.68,0.14,0.14,1.78,0,0.14,0.14,0.14
