stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0
21Day,0,0,1.11,0.37,0,0,2.96,0,0.37,0,0,0.37,0.37,0,0,0.37,0,0,1.48
3Month,0.21,0.1,0,2.18,0.21,1.77,0.1,0,0.31,0.1,0.1,0,0,0.1,0.1,0,0.21,0.1,1.14
22Month,0,0.14,0.14,6.29,0.41,2.46,0.68,0.14,1.78,0.27,0,0,0,0,0,0,0,0,0.41
