stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,1,0,0,1,0,0,0,0,0,5,0,7,0,0,0,7,783,0,0,3,0,0,0,0,0,0,0
72hpf,1.41,0.85,0,1.13,0.28,1.69,0,0,0,0,0,0,0,0,0.85,3.95,0.56,3.38,0,0,0,18.6,129.37,0.56,0,3.1,0,0,41.15,0.28,0,0,0
21Day,1.11,0,0.74,0.74,0,1.85,0.37,0,0,0,0,0,0.37,0.74,0.37,0.74,1.11,1.85,0,0,0,5.18,81.03,0,0,0.37,2.59,0.37,12.58,0,0.37,0.37,0.37
3Month,0,0,0,0.73,0,0,0,0.1,0.1,0,0.94,0.31,0,0.21,0.1,0.1,0,0,0.21,0.1,0,0,0.42,0,0,0,0,3.95,0.31,0,0,1.66,0.1
22Month,0,0,0,0,0,0,0,0.14,0.14,0,1.64,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0.27,0.55,0,0.27,0,0,8.47,0.14,0,0,0,0
