stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,3.95,0.28,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,1.11,0.37,0.37,0,0,0
3Month,0,0.21,0,0.21,0.42,0.1,0.21,0.1,0,0,0.21,0.1,0.1
22Month,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0
