stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,6.2,0.28,0,0,0,0,0,0,0,0,16.35,0,2.54,0,0,0.28,15.5,7.05,0,0.28,0,1.41,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0.37,11.47,7.4,1.11,0,0,0,0,0.37,0,0,0.74,6.66,0,1.11,0,0.74,0,3.7,1.11,0.37,0,0,0.37,1.11,0.37,1.48,0.37,0.37,0,0,0,0
3Month,0,0.31,0.1,12.27,1.25,0,0.42,0.21,0,3.54,0.73,0,1.25,3.12,1.35,0.42,1.35,0.21,0.52,0.42,0.21,0.1,0.1,0,0,0.1,0,3.22,0.1,0,0,0.1,0.31,80.93,0.42
22Month,0.14,0.55,0,4.92,0.41,0,0.14,0.55,0.14,5.88,0.27,0.14,0.27,0.68,0.27,0.68,0.41,0,1.09,0.14,0.55,0,0.55,0.14,0.27,0.14,0,1.23,0,0,0,0.14,0,0.27,0
