stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,1,0,3,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0.28,0.56,0.28,0,0,0.28
21Day,0.74,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0,0.1,0,0,0,0.1,0,0,0,0,0,0.52,0
22Month,0,0,0.14,0.68,0,0,0,0,0,0,0,0.68,0
