stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,7.33,0.28,0,0,0,0,0,0,0,0.28,1.69,0,0,0,0,0,0.56,3.1,0.28,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,2.59,1.11,0.74,0,0,0,0,0,0,1.11,0.37,2.22,0.37,0.37,0,0,0,0,0.74,0,0,0,0,0,1.11,0.37,0.37,0,0,0,0
3Month,0,0.1,0.21,7.39,0.1,0,0.1,0.73,0.73,5.1,1.04,0,1.98,3.43,1.04,0.73,0.94,0.21,0.1,0.42,0.62,0.94,0,0.42,0,0,0.42,16.43,0.21,0,0,0.31,162.47,0.31
22Month,0,0.27,0,3.01,0.14,0,0,0.14,0.27,1.23,0,0.14,0.41,0.14,0.14,0.27,0,0,0,0,0.14,0.14,0,0,0.14,0.14,0,6.01,0.14,0,0,0,0.41,0
