stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,2.25,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,2.96,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.31,1.04,0.31,0.1,0.1,75.93,0.83,1.04,0.1,0.73,0.31,0.21,2.18,0.42,0.1,0.42,0.31,0,0.21,0.83,0.52,0,0.1,0.73,0.1
22Month,0,0.14,0.27,0.14,0,0,28.15,1.23,0.27,0.14,0.14,0,0.14,1.78,0,0,0,0,0.14,0,0,0,0.14,0,0,0
