stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,2,8,6,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.54,0,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0.56,6.2,1.13,1.41,0,0.56,0,0,1.13,0.28,0,0,1.97,0,0,0,0,0,0
21Day,0.74,1.11,0,8.14,0.37,1.48,0,0.37,0,0.37,0,0,0.74,0,0.74,0.74,0,5.18,1.85,2.22,0,0,0.74,0,2.22,0.74,0,0.37,1.11,0.74,0,0,0,0,0.37
3Month,0,0.62,0.62,9.15,0,0,0.1,0,2.39,4.47,0,0,19.35,5.41,0.1,6.66,0.73,3.85,2.81,1.46,0.83,0,3.43,0.62,0.21,0,0.83,0.31,0.42,0.31,2.5,0.1,0.94,1.14,3.12
22Month,0.27,0,0,1.78,0,0,0,0,0.14,4.65,0.27,0,12.44,1.09,0,4.24,0.27,0.41,4.24,1.23,0.14,0.27,0.27,0,0.41,0,0,0.41,0,0,0,0,0.14,0,1.09
