stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,2.82,2.25,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0.74,0.37,0.74,0.37,0.37,0.37,0,0.37,0.37,0,0
3Month,0.1,0,0,0.1,0,0,0,0,0,0,0.52,0,0,0.42,0.1
22Month,0,0,0.14,0,0.14,0,0,0,0.14,0,0.41,0,0,0,0
