stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0.28,0,0,0,0,0,0.28,1.13,0,0.28,2.25,1.69,0.28,1.69,0,0.28,0,0
21Day,0.74,0,0.74,0.37,0,0,0,0,0,0,0.37,0.74,0.37,4.07,0,0.74,0.74,0,0,1.85,0,0,0,0
3Month,0,2.08,0.52,0,0,0.1,0.1,0,0.73,0,0.21,0,0.1,1.87,0.21,0.21,0.21,0,0,0.1,0.1,0,0.1,0
22Month,0,0.68,0.14,0,0,0.14,0,0.14,0.68,0.14,0,0.14,0,0.27,0,0.14,0,0,0,0,0,0,0,0.14
