stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3Month,0.42,1.14,0,0.1,0.31,0.62,0.21,0,0,0.1,0.1,0.52,0.42,0,0,0.21,0.21,0,0.21,0.1,0.1,0.1,1.04
22Month,1.64,0.68,0.14,0.14,0.68,8.47,0.55,0.41,0.27,0,0,0.82,0.68,0.14,0.27,0.14,0,0.14,0.14,0,0,0,0.68
