stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0.37,0,0,0.37
3Month,0.31,0.52,0,0.31,0.62,0.1,0.1,0.21,0.31,1.25,0.21,0,0.1,0.1,0.42,19.87
22Month,0.27,0.27,0.14,0.55,0.82,0.14,0.14,0.14,0,0.41,0,0.14,0,0,0,7.38
