stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,2.59,0,0.37,0,0.37,1.48,1.48,1.48,0,0
3Month,0.1,9.15,0.52,0,0.83,0.52,0.31,0.21,0.42,0,0.31,0.1,0,0.1,0.31,0,0.94,5.51,0,0,0,0.21,0.31
22Month,0,5.47,0.27,0.41,2.19,0,0.14,0.14,0,0.14,0,0,0,0,0.14,0,0.82,5.88,0.55,0,0,0,0
