stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Primordial_germ_cell
72hpf,0,0.28,0.28,0,0,0,3.66,0
21Day,0,0,0.74,0,0,0,1.48,0
3Month,0.1,0,0,0.1,0.1,0.1,0.73,0.1
22Month,0,0.14,0,0.27,0,0,0.14,0
