stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,4.23,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,31.57,1.97,0.28,0,0,0.56,0,0,0.28,0.28,0,0,0
21Day,0.74,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0.74,0,0.74,0,1.11,0,0,0,12.21,0,0,0,0,1.11,0.37,0.37,0.37,0,0,0,0
3Month,0,0,2.18,0.1,0,0.1,0.1,0.31,0,1.66,0.42,0.1,0.31,0.42,3.33,0.21,0.83,0.31,0.1,0.1,0.94,0.52,6.45,0.1,0,0,0.21,21.12,0.31,0.21,0.62,29.33,0.21
22Month,0,0.27,0.96,0,0,0,0,0.55,0.27,4.92,0.27,0,0,0,0,0.27,1.23,0,0,0,1.5,0.14,3.42,0.27,0.82,0,0,8.06,0.82,0,0,0,0
