stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0.56,0.56,0.28,0,0,0,0.85,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,7.03,0.37,1.48,0,0.37,0,0,0.37,0,1.11,0,64.38,5.18,0.74,2.22,0,0,0.37,1.85,1.85,0,0,1.48,1.11,0,0,0.37,0,0,0
3Month,0,0,0.1,1.66,0,0,0.1,0.1,0.31,0,2.91,0.42,0,0.42,2.5,0.31,5.1,0.1,0.21,0,0.31,0,0,0,0,0.1,0.1,0.62,0.1,0,0.1,0.1,0.31
22Month,0.14,0.14,0.14,1.5,0,0,0,0.68,0.41,0.14,6.97,0,0.27,0.68,4.37,0.14,0.41,0.82,0,0.27,0.41,0,0,0.14,0.14,0,0.27,0.55,0.14,0.14,0,0,0.14
