stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
21Day,0,0.74,0.74,0,0.37,3.7,0,0,0.37,0.37,0,0,0.74,1.11,0.37,0.37,0,0.74,0,1.48
3Month,0,0,0,0.1,0,0,0.1,0.1,0.1,0.31,0.1,0,0,0,0,0,0,0,0,1.56
22Month,0.55,0.14,0,0.14,0.68,0,0.14,0.14,0,0.27,0,0.14,0,0,0,0,1.37,0,0.14,5.19
