stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,3.66,1.13,0,0,0,0,0,0,0,0,0,1.41,0.56,56.09,0,2.25,3.1,3.38,0.28,0,49.61,0,0,0.56,0,0,1.97,0,0,0
21Day,1.48,0,0,1.48,0.74,0,0,0,0,0,0,0,0.37,0,0.74,0,51.8,0,4.07,1.85,0.74,0,0.37,21.83,0.37,0,2.22,0,1.11,0.37,0,0,0.37
3Month,0.1,0.42,0.42,1.25,0,0.21,5.2,0.21,1.98,0.1,1.56,0.94,0,1.35,0.31,0.52,54.09,5.41,1.25,0,0.1,0,0.1,0.21,0.21,0.94,0.1,0,0,0.42,0.21,1.46,0.52
22Month,0,0.14,0,0.41,0,0.14,1.64,0,0.41,4.92,6.7,0.14,0.14,0.55,0,0.68,16.81,0.14,0.14,0.14,0.14,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0.68
