stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,1.11,0,0.37,1.85,0,0,0,0,0,0,0.37,0,0
3Month,0.31,0.1,3.02,0.62,3.74,0.42,0.1,0.21,0.42,0,0.1,0.1,0,0.1,0.1
22Month,0.14,0,2.6,0.14,1.5,0.41,0,0,0.68,0.14,0,0,0,0,0
