stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.21,0.94,0.1,0.1,0,0,0.31,0,13.21,0.21,4.06,0.21,0.62,0.21,0.42,0.52,0,0.1,0.1,0,0,0,0.62,2.29,0.1,0.1,0.42,0.42
22Month,0.27,0.14,0.14,0.82,0,0,0.27,0.27,0.41,0.14,10.11,0.27,3.55,0,0,0.27,0.82,0,0.27,0.27,0,0.14,0,0.14,0.41,0.82,0,0,0,0
