stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,1,0
72hpf,0,0.28,0,0,0,0.28,0,0,0.85,0.28,0.28
3Month,0.21,0,0,0,0.1,0,0,0,0,0,0
22Month,0,0,0.14,0.14,0.55,0,0.14,0.14,0,0,0
