stage,Cardiomyocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,1,0
72hpf,0.28,0,0,0,4.79,0.28,0.28
21Day,0.37,0,0,0.37,3.33,0.37,0
22Month,0,1.09,0.14,0,0,0,0
