stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0.85,0,0,0,8.46,0.56,0,0,2.82,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.11,0,0,0.37,0,0,0,0,0.74,0,0,0.37,2.59,0,0,0,4.44,0,0,0,0,0,0,0.74
3Month,0.31,0,0.73,0.21,0.31,4.58,0.94,3.33,0,0.21,0.1,0.1,2.81,4.78,0.73,0,0.21,0.1,0,0,0.42,1.66,0.1,0.1,0,0.1,0.21,0.21,1.77
22Month,0.41,0.14,0.82,0.14,0,13.53,3.28,0.55,0,0.27,0,0.27,3.01,8.34,0.14,0.55,0.14,0,0,0.27,2.05,1.37,0,0,0.14,0,0,0,0.55
