stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,32,0,117,0,0,3,0,0,8,163,6,70,57,647,6,0,2
72hpf,0.28,0.56,0.28,0,0,0,0,0,0,0,0.28,0,1.13,1.41,0.28,0.28,0
21Day,0,0,1.48,0,0,0,0,0,0,1.11,0,1.85,1.85,0.74,0,0.37,0
22Month,0,0,0,0.14,0.14,0,0.14,0.27,0,0,0.14,0,0,0,0,0,0
