stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0.56,0,13.53,1.97,0,0.28,3.1,0.28,0
21Day,0.37,0,0,0,0,0.37,0,0,0,7.77,1.85,0.74,0.37,1.85,0,0
3Month,0,0,0.21,0.21,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1
22Month,0.27,0.14,0.55,0.14,0,0,0,0,0.14,0.14,0,0,0,0.14,0,0
