stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0.56,0,0,0,0,1.13,0.56,0,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0,2.22,0.37,0,0,0,0,0,0,0,0,0,0,3.33,0,0.37,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0.37
3Month,0,0.62,0.42,9.26,0,0.21,0,1.14,0.42,0,4.99,1.56,0.21,8.63,0.42,1.56,1.98,1.98,0.1,0,0.52,0.42,0.31,0,0.1,0,0.21,0.21,1.46,0.1,0.1,0.21,2.29
22Month,0.14,0.96,0.55,3.01,0,0.27,0.27,1.78,1.64,0.55,9.98,1.09,0.41,10.52,0,1.09,1.5,1.91,0.14,0.82,0.14,0,0.14,0,0.41,0.27,0,0,0.27,0.27,0.27,0,1.37
