stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,0,0,0,0,0,0,3,8,7,0,0,0,0,2,74,0,3,0,0,0,0,0,0
72hpf,0.28,0,1.41,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0,2.82,0,0.28,0,0,5.92,10.71,0,1.69,0.28,0,0.28,0,0,0
21Day,0.37,0.74,1.11,1.85,1.48,0,0,0,0,0,2.96,0,0.37,1.11,0,0.74,0,0,0.37,0,1.11,3.33,0.37,0.74,0.37,0,0.37,0,0,0
3Month,0,0.1,1.87,0,0.31,0.31,1.14,0,0.42,2.08,0.62,0.73,0.31,0.42,1.46,1.25,0.31,0,0,0.21,0.31,0.52,0.21,0.1,0,11.13,0.21,0.31,8.11,3.02
22Month,0,0,0.27,0,0.27,0,0.55,0.14,0.82,0,0.82,0.41,0.14,0,1.23,0.27,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.96
