stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.41,0,1.69,0,0,0,0,0,0,0,0,0,1.69,0.28,1.69,0,0,0,181.51,8.74,0.56,0,0,2.82,0,0,2.25,5.36,0.56,0.56,0,0
21Day,0.74,0.37,0,8.14,0.37,4.07,0.37,0,0,0,0.74,0,1.11,0,0.74,1.11,0,5.18,0,0.74,0,102.49,1.85,0,1.48,0,1.48,0.74,0.37,1.48,2.59,0.37,0,0,0
3Month,0,0.1,0.1,2.81,0.21,0,0,0.83,0.52,0,3.74,0.31,0.1,0.62,0.21,0.62,0.42,2.5,0.1,0.42,4.26,6.55,0.21,3.74,0,0,0.42,0.31,1.56,0.42,0,0,0,3.43,0.21
22Month,0,0.27,0.27,1.23,0,0,0,0.41,0.68,0.27,8.75,0.27,0.14,1.37,0,0.27,0.68,1.78,0.27,0.14,0,5.74,0,1.5,0.14,0.14,0,0.14,1.64,0.41,0.14,0,0,0,0.14
