stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24,9,55,1,3,0,0,218,1,0,1,3,35,29,97,0,42,701,15,0,8,0,0,0
72hpf,0,0,9.86,0,0,0.28,0,0.56,0,0,0,0.28,1.13,0,0.28,0,1.13,1.13,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0.31,0,0,0,0.42,0,0.1,0.21,0.1,0,0.1,0.1,5.51,0.1,0,0,0,0.52,0,0.1,0.1,0.1
22Month,0,0,0.14,0,0,0,0,0,0.96,0,0,0,0,0,1.64,0,0.14,0,0,0.96,0,0,0,0
